رقم,حرف,سؤال,جواب
1,أ,أما هو اسم عاصمة المملكة العربية السعودية؟,الرياض
2,ب,بكم عدد أركان الإسلام؟,خمسة
3,ت,ت ما هو أطول نهر في العالم؟,نهر الأمازون
4,ث,ثلاثة زائد ثلاثة كم يساوي؟,ستة
5,ج,جميل ما هو لون السماء الصافية؟,أزرق
6,ح,حار ما هو فصل الصيف؟,أحر فصول السنة
7,خ,خفيف ما هو عكس كلمة ثقيل؟,خفيف
8,د,دار ما هو اسم كوكب الأرض؟,الأرض
9,ذ,ذهب ما هو العنصر الكيميائي الذي رمزه Au؟,الذهب
10,ر,رائع ما هو أول أيام الأسبوع في معظم التقاويم؟,الأحد
11,ز,زكي ما هو الحيوان المعروف بذكائه ومكره؟,الثعلب
12,س,سريع ما هو أسرع حيوان بري؟,الفهد
13,ش,شمس ما هو النجم الذي يضيء كوكبنا؟,الشمس
14,ص,صعب ما هو الجذر التربيعي للعدد 144؟,اثنا عشر
15,ض,ضخم ما هو أكبر محيط في العالم؟,المحيط الهادئ
16,ط,طويل ما هو أطول حيوان في العالم؟,الزرافة
17,ظ,ظريف ما هو صوت الضفدع؟,نقيق
18,ع,عظيم ما هو أقدم حضارة معروفة؟,سومر
19,غ,غالي ما هو أثمن أنواع الأحجار الكريمة؟,الماس
20,ف,فرح ما هو عكس كلمة حزن؟,فرح
21,ق,قوي ما هو أكبر عظمة في جسم الإنسان؟,عظم الفخذ
22,ك,كبير ما هو أكبر كوكب في المجموعة الشمسية؟,المشتري
23,ل,لطيف ما هو المشروب الأساسي في الثقافة العربية؟,القهوة
24,م,مرح ما هو اسم القمر التابع للأرض؟,القمر
25,ن,نظيف ما هو عكس كلمة قذر؟,نظيف
26,ه,هادئ ما هو عكس كلمة صاخب؟,هادئ
27,و,واسع ما هو أكبر صحراء حارة في العالم؟,الصحراء الكبرى
28,ي,يمين ما هو عكس كلمة يسار؟,يمين
